ZIP Code,2020,2021,2022,Population Growth
02556,2554.0,2457.0,2375.0,-179.0
02557,4701.0,1762.0,1924.0,-2777.0
02558,1632.0,1779.0,1820.0,188.0
02559,3228.0,3307.0,3205.0,-23.0
02561,257.0,1025.0,481.0,224.0
02562,2814.0,3204.0,3485.0,671.0
02563,9728.0,9514.0,10168.0,440.0
02564,189.0,180.0,180.0,-9.0
02568,4132.0,8810.0,8547.0,4415.0
02571,10858.0,10738.0,10530.0,-328.0
02575,2197.0,2432.0,2606.0,409.0
02576,4171.0,3985.0,4406.0,235.0
02584,0.0,30.0,24.0,24.0
02601,14939.0,17175.0,17178.0,2239.0
02630,1892.0,1953.0,1922.0,30.0
02631,9565.0,10109.0,10176.0,611.0
02632,11105.0,12038.0,11929.0,824.0
02633,4040.0,4649.0,4667.0,627.0
02635,2826.0,2902.0,3007.0,181.0
02637,184.0,292.0,323.0,139.0
02638,3028.0,3180.0,3146.0,118.0
02639,3147.0,3439.0,3308.0,161.0
02641,202.0,178.0,319.0,117.0
02642,4873.0,5674.0,5724.0,851.0
02643,0.0,0.0,0.0,0.0
02644,3744.0,3713.0,3838.0,94.0
02645,9730.0,10845.0,10930.0,1200.0
02646,1715.0,1801.0,1950.0,235.0
02647,121.0,166.0,159.0,38.0
02648,6833.0,7283.0,7774.0,941.0
02649,14204.0,14996.0,15144.0,940.0
02650,865.0,764.0,1024.0,159.0
02651,23.0,,,
02652,710.0,990.0,996.0,286.0
02653,5865.0,6276.0,6322.0,457.0
02655,3100.0,3341.0,3441.0,341.0
02657,2972.0,3582.0,3630.0,658.0
02659,992.0,1141.0,916.0,-76.0
