ZIP Code,Population,Year
03064,14284,2020
03070,5781,2020
03071,5373,2020
03076,13991,2020
03077,10407,2020
03079,29633,2020
03082,1706,2020
03084,1250,2020
03086,3915,2020
03087,14694,2020
03101,2834,2020
03102,33951,2020
03103,36831,2020
03104,32776,2020
03106,14375,2020
03109,10409,2020
03110,22710,2020
03215,230,2020
03216,2494,2020
03217,2237,2020
03218,1070,2020
03220,7566,2020
03221,1922,2020
03222,5895,2020
03223,3382,2020
03224,2402,2020
03225,3573,2020
03226,881,2020
03227,1126,2020
03229,5746,2020
03230,1445,2020
03231,226,2020
03233,334,2020
03234,4767,2020
03235,8793,2020
03237,2082,2020
03238,95,2020
03240,1293,2020
03241,908,2020
03242,4966,2020
03243,809,2020
03244,7589,2020
03245,2093,2020
03246,16573,2020
03249,7213,2020
03251,1270,2020
03253,6410,2020
03254,4149,2020
03255,1852,2020
03256,2450,2020
03257,4179,2020
03258,2689,2020
03259,407,2020
03260,1012,2020
03261,4337,2020
03262,1170,2020
03263,4114,2020
03264,7249,2020
03266,2023,2020
03268,1452,2020
03269,2920,2020
03273,357,2020
03275,11652,2020
03276,8289,2020
03278,2978,2020
03279,639,2020
03280,1057,2020
03281,9058,2020
03282,1089,2020
03284,996,2020
03285,2516,2020
03287,1444,2020
03290,5036,2020
03291,92,2020
03293,156,2020
03301,33550,2020
03303,15984,2020
03304,7958,2020
03307,5591,2020
03431,24849,2020
03440,3036,2020
03441,163,2020
03442,1684,2020
03443,235,2020
03444,1553,2020
03445,700,2020
03446,6375,2020
03447,2324,2020
03448,749,2020
03449,1715,2020
03450,882,2020
03451,3905,2020
03452,5275,2020
03455,2524,2020
03456,788,2020
03457,709,2020
03458,7111,2020
03461,6100,2020
03462,1388,2020
03464,977,2020
03465,1734,2020
03466,2002,2020
03467,2023,2020
03470,5138,2020
03561,5920,2020
03570,10025,2020
03574,2591,2020
03575,52,2020
03576,2718,2020
03579,341,2020
03580,1419,2020
03581,3190,2020
03582,2077,2020
03583,942,2020
03584,3570,2020
03585,2556,2020
03586,605,2020
03588,1535,2020
03590,1173,2020
03592,1147,2020
03593,384,2020
03595,721,2020
03597,490,2020
03598,3173,2020
03601,602,2020
03602,2277,2020
03603,5357,2020
03604,117,2020
03605,809,2020
03607,338,2020
03608,3314,2020
03609,560,2020
03740,762,2020
03741,4115,2020
03743,13659,2020
03745,1480,2020
03746,169,2020
03748,4769,2020
03750,1059,2020
03751,638,2020
03752,964,2020
03753,2878,2020
03754,50,2020
03755,10466,2020
03765,576,2020
03766,9643,2020
03768,1713,2020
03770,460,2020
03771,939,2020
03773,7636,2020
03774,1884,2020
03777,1372,2020
03779,817,2020
03780,586,2020
03781,2305,2020
03782,3013,2020
03784,4126,2020
03785,2300,2020
03801,22424,2020
03809,3830,2020
03810,1501,2020
03811,7014,2020
03812,485,2020
03813,3044,2020
03814,2201,2020
03816,1206,2020
03817,976,2020
03818,4127,2020
03819,4520,2020
03820,32046,2020
03823,2121,2020
03824,16476,2020
03825,9293,2020
03826,1952,2020
03827,3065,2020
03830,1567,2020
03832,291,2020
03833,21901,2020
03835,6952,2020
03836,1304,2020
03837,1736,2020
03838,1191,2020
03839,4022,2020
03840,4038,2020
03841,6798,2020
03842,15787,2020
03844,2222,2020
03845,1213,2020
03846,979,2020
03847,376,2020
03848,6330,2020
03849,1701,2020
03850,198,2020
03851,4230,2020
03852,416,2020
03853,673,2020
03854,863,2020
03855,2801,2020
03856,1984,2020
03857,9161,2020
03858,4930,2020
03860,4061,2020
03861,4524,2020
03862,4497,2020
03864,2080,2020
03865,7724,2020
03867,21739,2020
03868,5544,2020
03869,2527,2020
03870,5299,2020
03871,179,2020
03872,3875,2020
03873,6328,2020
03874,8982,2020
03875,832,2020
03878,12085,2020
03882,1647,2020
03883,282,2020
03884,4023,2020
03885,7430,2020
03886,1718,2020
03887,1779,2020
03890,64,2020
03894,6289,2020
03901,7930,2020
03902,1928,2020
03903,6767,2020
03904,8068,2020
03905,1717,2020
03906,4589,2020
03907,1137,2020
03908,7531,2020
03909,10727,2020
03910,418,2020
03911,61,2020
04001,2574,2020
04002,7596,2020
04003,214,2020
04005,23464,2020
04006,141,2020
04008,2780,2020
04009,5335,2020
04010,1691,2020
04011,20565,2020
04015,3838,2020
04017,515,2020
04019,42,2020
04020,1401,2020
04021,6612,2020
04022,1017,2020
04024,580,2020
04027,6324,2020
04029,1830,2020
04030,2183,2020
04032,8517,2020
04037,3850,2020
04038,17723,2020
04039,7596,2020
04040,3348,2020
04041,1886,2020
04042,4685,2020
04043,11536,2020
04046,7965,2020
04047,1733,2020
04048,3074,2020
04049,3807,2020
04050,282,2020
04051,1246,2020
04055,3925,2020
04056,249,2020
04057,92,2020
04061,3025,2020
04062,18821,2020
04063,431,2020
04064,8521,2020
04066,678,2020
04068,1329,2020
04069,1549,2020
04071,5211,2020
04072,19716,2020
04073,16623,2020
04074,20376,2020
04076,2772,2020
04079,4022,2020
04083,4529,2020
04084,7231,2020
04085,2888,2020
04086,8888,2020
04087,2692,2020
04088,1311,2020
04090,10530,2020
04091,810,2020
04092,18935,2020
04093,8289,2020
04095,1341,2020
04096,8567,2020
04097,3839,2020
04101,18179,2020
04102,16968,2020
04103,30628,2020
04105,11968,2020
04106,25938,2020
04107,9226,2020
04108,809,2020
04109,80,2020
04110,1532,2020
04210,23184,2020
04216,435,2020
04217,3425,2020
04219,1328,2020
04220,3292,2020
04221,1008,2020
04222,3983,2020
04224,2583,2020
04226,194,2020
04227,83,2020
04228,0,2020
04231,191,2020
04234,61,2020
04236,4340,2020
04237,259,2020
04238,1600,2020
04239,4612,2020
04240,36158,2020
04250,4193,2020
04252,4750,2020
04253,2048,2020
04254,3176,2020
04255,667,2020
04256,2980,2020
04257,2632,2020
04258,2667,2020
04259,3455,2020
04260,5795,2020
04261,318,2020
04263,2332,2020
04265,795,2020
04267,46,2020
04268,4970,2020
04270,6220,2020
04271,0,2020
04274,5624,2020
04275,527,2020
04276,5733,2020
04280,6702,2020
04281,5133,2020
04282,5821,2020
04284,954,2020
04285,428,2020
04286,0,2020
04287,3423,2020
04289,2206,2020
04290,1524,2020
04292,1085,2020
04294,3943,2020
04330,25803,2020
04342,1882,2020
04343,0,2020
04344,2905,2020
04345,11534,2020
04346,1711,2020
04347,2444,2020
04348,3097,2020
04349,1111,2020
04350,3611,2020
04351,2538,2020
04352,1555,2020
04353,2165,2020
04354,1446,2020
04355,2571,2020
04357,3448,2020
04358,3917,2020
04359,267,2020
04360,509,2020
04363,2586,2020
04364,5974,2020
04401,44008,2020
04406,734,2020
04408,164,2020
04410,1213,2020
04411,1791,2020
04412,9026,2020
04413,145,2020
04414,1270,2020
04415,369,2020
04416,5525,2020
04417,385,2020
04418,1752,2020
04419,2828,2020
04421,1189,2020
04422,1348,2020
04424,917,2020
04426,4501,2020
04427,2808,2020
04428,3525,2020
04429,4615,2020
04430,1695,2020
04431,35,2020
04434,1141,2020
04435,1223,2020
04438,1211,2020
04441,1683,2020
04442,89,2020
04443,2026,2020
04444,8994,2020
04448,1474,2020
04449,1202,2020
04450,1441,2020
04451,221,2020
04453,781,2020
04454,21,2020
04455,752,2020
04456,2954,2020
04457,5755,2020
04459,794,2020
04460,1417,2020
04461,2991,2020
04462,4597,2020
04463,3207,2020
04464,512,2020
04468,9199,2020
04469,2510,2020
04471,566,2020
04472,2042,2020
04473,8241,2020
04474,3674,2020
04475,584,2020
04476,1018,2020
04478,310,2020
04479,1507,2020
04481,517,2020
04485,158,2020
04487,875,2020
04488,1360,2020
04489,343,2020
04490,228,2020
04491,166,2020
04492,91,2020
04493,1888,2020
04495,361,2020
04496,3985,2020
04497,326,2020
04530,10974,2020
04535,760,2020
04537,1609,2020
04538,1970,2020
04539,1384,2020
04541,48,2020
04543,2288,2020
04544,930,2020
04547,1155,2020
04548,934,2020
04551,717,2020
04553,1588,2020
04554,659,2020
04555,1552,2020
04556,1257,2020
04558,142,2020
04562,2128,2020
04563,1477,2020
04564,527,2020
04568,484,2020
04570,0,2020
04571,620,2020
04572,5044,2020
04573,435,2020
04574,1561,2020
04575,74,2020
04576,487,2020
04578,4577,2020
04579,3145,2020
04605,14311,2020
04606,1346,2020
04607,1122,2020
04609,5527,2020
04611,414,2020
