ZIP Code,2020,2021,2022,Diversity Growth Metric
01237,0.027740000000000098,0.01195899999999972,0.02966599999999997,3
01238,0.166366,0.17344499999999985,0.16017000000000003,2
01240,0.13050099999999987,0.15049800000000002,0.15421299999999982,3
01242,0.0,0.0,0.0,2
01243,0.14684199999999992,0.20184999999999986,0.17814399999999986,3
01244,0.0,0.0,0.0,2
01245,0.01593600000000006,0.02780400000000005,0.08976799999999985,3
01247,0.206086,0.21303000000000016,0.1990909999999999,2
01253,0.035514000000000046,0.03156599999999976,0.06195200000000001,3
01254,0.14528600000000014,0.15463900000000008,0.14572200000000013,3
01255,0.07601100000000005,0.07774400000000004,0.17897299999999994,4
01256,0.09633400000000003,0.1128450000000002,0.11052699999999982,3
01257,0.0019979999999997222,0.11587100000000006,0.09321199999999985,3
01258,0.17773899999999998,0.03727800000000003,0.05254200000000009,1
01259,0.037566999999999906,0.11021899999999984,0.1323319999999999,3
01260,0.0,0.0,0.0,2
01262,0.255433,0.25592899999999996,0.16257499999999991,2
01264,0.1512300000000001,0.18754300000000013,0.027608000000000077,1
01266,0.20030099999999984,0.17708900000000005,0.09866499999999989,1
01267,0.3035589999999999,0.30474099999999993,0.281285,2
01270,0.26042999999999983,0.28087800000000007,0.2654629999999998,3
01301,0.18080999999999992,0.20608099999999996,0.2010129999999999,3
01330,0.1354789999999999,0.20189400000000013,0.19653799999999988,3
01331,0.12836500000000006,0.11312200000000017,0.12832900000000003,2
01337,0.08170700000000009,0.07397999999999982,0.10182099999999994,3
01338,0.6439819999999999,0.2753660000000001,0.14807100000000017,1
01339,0.07387999999999983,0.09589999999999999,0.0741949999999999,3
01340,0.07382599999999984,0.09043100000000015,0.0922909999999999,3
01341,0.021814999999999807,0.03361100000000006,0.0719510000000001,3
01342,0.27321800000000007,0.21956200000000003,0.39168499999999984,4
01343,0.21677499999999994,0.11451900000000015,0.10508400000000007,1
01344,0.0928779999999998,0.11122399999999988,0.10166199999999992,3
01346,0.1075020000000001,0.13191799999999998,0.16727599999999998,3
01347,0.0,0.5617559999999999,0.5015640000000001,5
01349,0.20577200000000018,0.347611,0.24884499999999987,3
01350,0.0,0.0,0.0,2
01351,0.05685400000000007,0.08130599999999999,0.06623699999999988,3
01354,0.13071999999999995,0.13987099999999997,0.20993099999999998,3
01355,0.38987800000000006,0.38529499999999994,0.3818619999999999,2
01360,0.10454600000000003,0.16565399999999997,0.16108999999999984,3
01364,0.08351199999999981,0.1129730000000001,0.1446050000000001,3
01366,0.09133400000000003,0.16646300000000003,0.15927799999999992,3
01367,0.22272599999999998,0.22588600000000014,0.22133000000000003,2
01368,0.015927000000000024,0.023756,0.06648300000000007,3
01370,0.16531399999999985,0.17337200000000008,0.18013899999999994,3
01373,0.08462000000000003,0.07325999999999988,0.05269100000000004,2
01375,0.33911800000000003,0.3176300000000001,0.3794059999999999,3
01376,0.1463540000000001,0.12087399999999981,0.18236599999999992,3
01378,0.06823699999999999,0.04710000000000003,0.06442699999999979,2
01379,0.20037099999999997,0.29505400000000004,0.27048800000000006,3
01380,,0.0,0.0,
01420,0.43956099999999976,0.44478799999999996,0.49560800000000005,3
01430,0.05107999999999979,0.11055599999999977,0.14192099999999996,3
01431,0.0699709999999999,0.07550900000000005,0.06036299999999983,2
01432,0.23098699999999994,0.30728,0.38163199999999986,4
01434,0.623121,0.5774840000000001,0.577469,2
01436,0.08223600000000009,0.06877100000000003,0.05906599999999995,2
01438,0.011927999999999717,0.015872000000000108,0.015872000000000108,3
01440,0.252397,0.247394,0.262209,3
01450,0.17884299999999997,0.21768399999999988,0.23963899999999982,3
01451,0.17058299999999993,0.18203999999999998,0.22202999999999995,3
01452,0.15775899999999987,0.17375600000000013,0.16297499999999998,3
01453,0.3448899999999999,0.38845699999999983,0.4003479999999999,3
01460,0.20725799999999994,0.19454799999999994,0.2315640000000001,3
01462,0.11193899999999979,0.179535,0.17909300000000006,3
01463,0.16783100000000006,0.1918749999999999,0.23389899999999975,3
01464,0.37874299999999994,0.3388359999999998,0.27671500000000004,1
01467,0.0,,,
01468,0.15722599999999998,0.14807100000000017,0.08909999999999985,2
01469,0.1336879999999998,0.19061499999999998,0.23482900000000007,4
01473,0.015900000000000025,0.021757999999999722,0.049086000000000074,3
01474,0.04133399999999976,0.12627499999999992,0.17661899999999997,4
01475,0.191975,0.18609300000000006,0.24565000000000003,3
01501,0.11402900000000016,0.13263800000000003,0.15588200000000008,3
01503,0.06454999999999989,0.12442899999999979,0.1608259999999999,3
01504,0.195758,0.22293799999999997,0.22818200000000022,3
01505,0.07063999999999993,0.08179500000000006,0.13796600000000014,3
01506,0.11051699999999998,0.08777000000000001,0.09918699999999991,2
01507,0.08723400000000003,0.12892499999999996,0.11415399999999998,3
01510,0.2138030000000002,0.2396919999999999,0.2745529999999998,3
01515,0.09307899999999991,0.11748499999999995,0.1281150000000002,3
01516,0.0761090000000001,0.09686600000000001,0.08165600000000006,3
01518,0.12761899999999982,0.1144130000000001,0.13121899999999986,3
01519,0.33024600000000015,0.3127139999999998,0.25044299999999975,2
01520,0.16957899999999992,0.21626100000000004,0.23135099999999975,3
01521,0.03950100000000012,0.08539799999999997,0.100128,3
01522,0.07420999999999978,0.09874899999999998,0.10618100000000008,3
01523,0.20674700000000001,0.23900399999999977,0.20782699999999987,3
01524,0.14247399999999988,0.1675310000000001,0.1728590000000001,3
01525,0.2706839999999998,0.0,0.0,1
01527,0.18325499999999995,0.21053100000000002,0.2642699999999998,3
01529,0.07357899999999984,0.07935499999999984,0.10931800000000014,3
01531,0.03542000000000001,0.05870800000000009,0.08909899999999982,3
01532,0.31784299999999976,0.3644289999999999,0.38498599999999994,3
01534,0.09159400000000006,0.1605779999999999,0.16527100000000006,3
01535,0.051091999999999804,0.06454599999999988,0.07022299999999981,3
01536,0.2893340000000001,0.4059100000000001,0.399749,4
01537,0.08108000000000004,0.13076500000000013,0.1362110000000002,3
01540,0.1547829999999999,0.16891100000000003,0.15439499999999984,2
01541,0.11917299999999997,0.14484999999999992,0.09067700000000001,2
01542,0.14539000000000013,0.2168199999999999,0.20662199999999997,3
